type	target1	target2	alg
0   	10     	23     	"[D U' R' : [U , R' D R]]"
0   	11     	0      	"[D' U' : [R D' R' , U2]]"
0   	11     	1      	"[D : [R' D' R , U]]"
0   	11     	3      	"[D : [R' D' R , U']]"
0   	11     	4      	"[R U : [R' D R , U]]"
0   	11     	5      	"[D R' U' : [D' , R U R']]"
0   	11     	7      	"[D2 : [R U R' , D']]"
0   	11     	8      	"[R U : [R' D R , U2]]"
0   	11     	10     	"[R' : [F' , R D' R' D]]"
0   	11     	13     	"[U R U' D : [R' D' R , U2]]"
0   	11     	14     	"[R D : [R' U' R , D]]"
0   	11     	15     	"[R U R' , D]"
0   	11     	16     	"[R' F : [D , R U' R']]"
0   	11     	17     	"[D R2' : [U , R D R']]"
0   	11     	18     	"[D' R D : [R' U' R , D2]]"
0   	11     	19     	"[D' : [R U R' , D2]]"
0   	11     	21     	"[U L' : [F2 , L U' L' U]]"
0   	11     	22     	"[D R : [U' , R D' R']]"
0   	11     	23     	"[D R D : [R' D' R , U]]"
0   	13     	0      	"[R' U D R2 : [U' , R' D' R]]"
0   	13     	3      	"[U' R' : [U2 , R' D' R]]"
0   	13     	4      	"[R' D R2 D' R2' : [U , R2 D R2' D' R2]]"
0   	13     	5      	"[R U' D' R' : [D , R' U R]]"
0   	13     	6      	"[U R U : [R' D R , U2]]"
0   	13     	7      	"[U R2 : [D' , R' U2 R]]"
0   	13     	8      	"[R' : [U' , R2 D' R2 D R2]]"
0   	13     	10     	"[U' R' U : [R D R' , U2]]"
0   	13     	11     	"[U R U D : [R' D' R , U2]]"
0   	13     	14     	"[U R U : [R' D' R , U2]]"
0   	13     	15     	"[U' R' D U : [R D' R' , U2]]"
0   	13     	17     	"[U R2 U' : [R U R' , D']]"
0   	13     	18     	"[U' R' U : [R D' R' , U2]]"
0   	13     	19     	"[U D R2 : [D' , R' U2 R]]"
0   	13     	20     	"[U' R' : [U2 , R' D R]]"
0   	13     	21     	"[U' D' R' : [U2 , R' D R]]"
0   	13     	22     	"[U R U D' : [R' D R , U2]]"
0   	13     	23     	"[D U' R' : [U2 , R' D R]]"
0   	14     	0      	"[U' : [R D R' , U2]]"
0   	14     	1      	"[U' , R D R']"
0   	14     	3      	"[U' : [R D R' , U']]"
0   	14     	4      	"[U' R2 : [U' , R' D' R]]"
0   	14     	5      	"[D' R : [F , R' U R U']]"
0   	14     	6      	"[U D : [R U' R' , D2]]"
0   	14     	7      	"[R D' : [R' U' R , D2]]"
0   	14     	8      	"[R U D' : [R' D R , U2]]"
0   	14     	10     	"[U : [R U' R' , D']]"
0   	14     	11     	"[R D2 : [R' U' R , D']]"
0   	14     	13     	"[U R U' : [R' D' R , U2]]"
0   	14     	15     	"[R' U : [R U R' , D']]"
0   	14     	16     	"[U' R U : [D , R' U' R]]"
0   	14     	17     	"[R' U2 : [R' D' R , U']]"
0   	14     	18     	"[U' : [D' , R' U' R]]"
0   	14     	20     	"[U' R' : [U , R' D R]]"
0   	14     	21     	"[D' R : [F2 , R' U R U']]"
0   	14     	23     	"[U' R' D' : [R D R' , U']]"
0   	15     	0      	"[R' D' R , U2]"
0   	15     	1      	"[R' D' R , U]"
0   	15     	3      	"[R' D' R , U']"
0   	15     	4      	"[U R' U2 : [R D R' , U]]"
0   	15     	5      	"[R' U' : [D' , R U R']]"
0   	15     	6      	"[U R' D : [R U' R' , D2]]"
0   	15     	7      	"[D2' , R U R']"
0   	15     	8      	"[D R U : [R' D' R , U2]]"
0   	15     	11     	"[D , R U R']"
0   	15     	13     	"[U' R' D U' : [R D' R' , U2]]"
0   	15     	14     	"[R' U : [D' , R U R']]"
0   	15     	16     	"[R' U : [D' , R U' R']]"
0   	15     	17     	"[R2' : [U , R D R']]"
0   	15     	18     	"[U R' D2 : [R U' R' , D]]"
0   	15     	19     	"[D' , R U R']"
0   	15     	20     	"[R D : [R' D' R , U]]"
0   	15     	22     	"[R : [R' D R U' R D' R' , U]]"
0   	15     	23     	"[R : [U' , R D' R']]"
0   	16     	0      	"[R' U D : [R D R' , U2]]"
0   	16     	3      	"[R' D' : [U' , R' D R]]"
0   	16     	4      	"[R' , F' L F]]"
0   	16     	5      	"[R' F : [R U R' , D]]"
0   	16     	6      	"[R' U : [R U' R' , D]]"
0   	16     	7      	"[U' L U , R]"
0   	16     	8      	"[R U D' : [R' D' R , U2]]"
0   	16     	10     	"[D' R' U : [R U' R' , D]]"
0   	16     	11     	"[R' F : [R U' R' , D]]"
0   	16     	14     	"[U' R U : [R' U' R , D]]"
0   	16     	15     	"[R' U : [R U' R' , D']]"
0   	16     	17     	"[U' L' U , R]"
0   	16     	18     	"[D R' U : [R U' R' , D]]"
0   	16     	19     	"[R U' : [D , R' U R]]"
0   	16     	20     	"[D' R U' : [D' , R' U R]]"
0   	16     	21     	"[U R' U' : [D' , R U R']]"
0   	16     	22     	"[D R U' : [D' , R' U R]]"
0   	16     	23     	"[R U' : [D' , R' U R]]"
0   	17     	1      	"[R2 U : [R' U' R , D]]"
0   	17     	3      	"[U' R' : [U' , R' D' R]]"
0   	17     	5      	"[l U' l' , F]"
0   	17     	6      	"[U' R' D : [U' , R' D R]]"
0   	17     	7      	"[U2 R2 : [D' , R' U R]]"
0   	17     	8      	"[R2 U' R U : [R' D' R , U2]]"
0   	17     	10     	"[U' R' U2 : [R D R' , U]]"
0   	17     	11     	"[D R' : [D , R' U R]]"
0   	17     	13     	"[U R2 U' : [D' , R U R']]"
0   	17     	14     	"[R' U : [R' D' R , U]]"
0   	17     	15     	"[R' : [D , R' U R]]"
0   	17     	16     	"[R , U' L' U]"
0   	17     	18     	"[U' R' U2 : [R D' R' , U]]"
0   	17     	19     	"[D' R' : [D , R' U R]]"
0   	17     	20     	"[U' R' : [U' , R' D R]]"
0   	17     	21     	"[U' D' R' : [U' , R' D R]]"
0   	17     	22     	"[U R2 : [U' , R' D' R]]"
0   	17     	23     	"[R2 U : [R' U' R , D']]"
0   	18     	0      	"[D' U' : [R D R' , U2]]"
0   	18     	1      	"[D' : [U' , R D R']]"
0   	18     	3      	"[D : [R' D R , U']]"
0   	18     	4      	"[U D R' : [U' , R' D R]]"
0   	18     	5      	"[l U2 l', F]"
0   	18     	6      	"[U D : [R U' R' , D]]"
0   	18     	8      	"[D R' D : [F2 , D' R D R']]"
0   	18     	10     	"[U : [R U' R' , D2']]"
0   	18     	11     	"[D' R D' : [R' U' R , D2]]"
0   	18     	13     	"[U' R' U' : [R D' R' , U2]]"
0   	18     	14     	"[U' : [R' U' R , D']]"
0   	18     	15     	"[U R' D' : [R U' R' , D']]"
0   	18     	16     	"[D R' U : [D , R U' R']]"
0   	18     	17     	"[U' R' U' : [R D' R' , U']]"
0   	18     	19     	"[U2 : [L , U R' U']]"
0   	18     	20     	"[D' U' R' D' : [R D R' , U']]"
0   	18     	21     	"[U' D' R' : [U , R' D R]]"
0   	18     	22     	"[U R2 : [U' , R' D2 R]]"
0   	19     	0      	"[D U' : [R D' R' , U2]]"
0   	19     	1      	"[D : [U' , R D' R']]"
0   	19     	3      	"[D' : [R' D' R , U']]"
0   	19     	4      	"[R U : [R' D' R , U]]"
0   	19     	5      	"[D' R' U' : [D' , R U R']]"
0   	19     	6      	"[R' D R : [D' , R U R']]"
0   	19     	7      	"[D2 : [R U R' , D]]"
0   	19     	8      	"[R U : [R' D' R , U2]]"
0   	19     	10     	"[R U R' U' : [D' , R U R']]"
0   	19     	11     	"[D : [R U R' , D2]]"
0   	19     	13     	"[D' U' R' U' D : [R D' R' , U2]]"
0   	19     	15     	"[R U R' , D']"
0   	19     	16     	"[R U' : [R' U R , D]]"
0   	19     	17     	"[D' R2' : [U , R D R']]"
0   	19     	18     	"[U' : [R' , U' L U]]"
0   	19     	20     	"[D' R : [U' , R D' R']]"
0   	19     	21     	"[D' R D : [R' D' R , U]]"
0   	19     	23     	"[R U' D' : [R' U R , D2]]"
0   	20     	0      	"[D R2' : [U , R2 D R2' D' R2]]"
0   	20     	1      	"[R F' : [R' U' R , D]]"
0   	20     	3      	"[R' U' R : [F2 , R' U R U']]"
0   	20     	4      	"[D' R2 : [D' , R' U R]]"
0   	20     	5      	"[U' R' U : [R U' R' , D]]"
0   	20     	7      	"[D' R D U' : [R' U R , D2]]"
0   	20     	8      	"[R U D : [R' D' R , U2]]"
0   	20     	10     	"[U R U' : [F2 , U R' U' R]]"
0   	20     	13     	"[U' R2' : [D , R U2 R']]"
0   	20     	14     	"[U' R2' : [D , R U R']]"
0   	20     	15     	"[R D : [U , R' D' R]]"
0   	20     	16     	"[D' R U' : [R' U R , D']]"
0   	20     	17     	"[U' R2' : [D , R U' R']]"
0   	20     	18     	"[U' D' R' D' : [U' , R D R']]"
0   	20     	19     	"[D' R2 : [D' , R' U' R]]"
0   	20     	21     	"[R2' U R2 U' R2' , D]"
0   	20     	22     	"[U' R2' : [D , R2 U R2' U' R2]]"
0   	20     	23     	"[R U' D' : [R' U R , D']]"
0   	21     	0      	"[R2 : [U , R2' D R2 D' R2']]"
0   	21     	1      	"[R' D R U' R D' R' , U]"
0   	21     	3      	"[R' D R U' R D' R' , U']"
0   	21     	4      	"[U R' D' : [U' , R' D' R]]"
0   	21     	5      	"[U' D' R' U : [R U' R' , D]]"
0   	21     	6      	"[U D R D' : [U' , R' D R]]"
0   	21     	7      	"[D2 R2 : [D' , R' U' R]]"
0   	21     	8      	"[D' L : [F2 , L' D L D']]"
0   	21     	11     	"[L' U : [F2 , U' L U L']]"
0   	21     	13     	"[U' D' R2' : [D , R U2 R']]"
0   	21     	14     	"[D' U R U' : [F2 , U R' U' R]]"
0   	21     	16     	"[U R' U' : [R U R' , D']]"
0   	21     	17     	"[U' D' R2' : [D , R U' R']]"
0   	21     	18     	"[U' D' R2' : [D , R U R']]"
0   	21     	19     	"[D' R D : [U , R' D' R]]"
0   	21     	20     	"[D , R2' U R2 U' R2']]"
0   	21     	22     	"[D' , R2' U R2 U' R2']]"
0   	21     	23     	"[U' R2' U R2 : [D' , R2' U' R2 U R2']]"
0   	22     	0      	"[D' R2' : [U , R2 D R2' D' R2]]"
0   	22     	1      	"[U' , R D' R' U R' D R]"
0   	22     	3      	"[R D' R2' : [D , R U' R']]"
0   	22     	4      	"[D R2 : [D' , R' U R]]"
0   	22     	5      	"[R U' R' : [D , R' U R]]"
0   	22     	6      	"[U R : [D , R U' R']]"
0   	22     	7      	"[R D' R2' : [D , R U' R']]"
